,sentence_id,token_id,sentence,token,spo_label
60,6,1,"This can lead to a sense of discomfort , numbness or pain .",This,Subject
61,6,2,"This can lead to a sense of discomfort , numbness or pain .",can,Predicate
62,6,3,"This can lead to a sense of discomfort , numbness or pain .",lead,Predicate
63,6,4,"This can lead to a sense of discomfort , numbness or pain .",to,other
64,6,5,"This can lead to a sense of discomfort , numbness or pain .",a,Object
65,6,6,"This can lead to a sense of discomfort , numbness or pain .",sense,Object
66,6,7,"This can lead to a sense of discomfort , numbness or pain .",of,Object
67,6,8,"This can lead to a sense of discomfort , numbness or pain .",discomfort,Object
68,6,9,"This can lead to a sense of discomfort , numbness or pain .",",",Object
69,6,10,"This can lead to a sense of discomfort , numbness or pain .",numbness,Object
70,6,11,"This can lead to a sense of discomfort , numbness or pain .",or,Object
71,6,12,"This can lead to a sense of discomfort , numbness or pain .",pain,Object
72,6,13,"This can lead to a sense of discomfort , numbness or pain .",.,other
73,7,1,Do you notice any specific pattern ?,Do,Predicate
74,7,2,Do you notice any specific pattern ?,you,Subject
75,7,3,Do you notice any specific pattern ?,notice,Predicate
76,7,4,Do you notice any specific pattern ?,any,Object
77,7,5,Do you notice any specific pattern ?,specific,Object
78,7,6,Do you notice any specific pattern ?,pattern,Object
79,7,7,Do you notice any specific pattern ?,?,other
80,8,1,P : I mostly feel it at night .,P,other
81,8,2,P : I mostly feel it at night .,:,other
82,8,3,P : I mostly feel it at night .,I,Subject
83,8,4,P : I mostly feel it at night .,mostly,other
84,8,5,P : I mostly feel it at night .,feel,Predicate
85,8,6,P : I mostly feel it at night .,it,Object
86,8,7,P : I mostly feel it at night .,at,other
87,8,8,P : I mostly feel it at night .,night,Object
88,8,9,P : I mostly feel it at night .,.,other
89,9,1,"Also , my feet get quite cold sometimes .",Also,other
90,9,2,"Also , my feet get quite cold sometimes .",",",other
91,9,3,"Also , my feet get quite cold sometimes .",my,Subject
92,9,4,"Also , my feet get quite cold sometimes .",feet,Subject
93,9,5,"Also , my feet get quite cold sometimes .",get,Predicate
94,9,6,"Also , my feet get quite cold sometimes .",quite,other
95,9,7,"Also , my feet get quite cold sometimes .",cold,other
96,9,8,"Also , my feet get quite cold sometimes .",sometimes,other
97,9,9,"Also , my feet get quite cold sometimes .",.,other
98,10,1,A : That is a common symptom of peripheral neuropathy .,A,other
99,10,2,A : That is a common symptom of peripheral neuropathy .,:,other
100,10,3,A : That is a common symptom of peripheral neuropathy .,That,Subject
101,10,4,A : That is a common symptom of peripheral neuropathy .,is,Predicate
102,10,5,A : That is a common symptom of peripheral neuropathy .,a,Object
103,10,6,A : That is a common symptom of peripheral neuropathy .,common,Object
104,10,7,A : That is a common symptom of peripheral neuropathy .,symptom,Object
105,10,8,A : That is a common symptom of peripheral neuropathy .,of,Object
106,10,9,A : That is a common symptom of peripheral neuropathy .,peripheral,Object
107,10,10,A : That is a common symptom of peripheral neuropathy .,neuropathy,Object
108,10,11,A : That is a common symptom of peripheral neuropathy .,.,other
109,11,1,You should bring this up with your doctor as soon as possible .,You,Subject
110,11,2,You should bring this up with your doctor as soon as possible .,should,Predicate
111,11,3,You should bring this up with your doctor as soon as possible .,bring,Predicate
112,11,4,You should bring this up with your doctor as soon as possible .,this,Object
113,11,5,You should bring this up with your doctor as soon as possible .,up,other
114,11,6,You should bring this up with your doctor as soon as possible .,with,other
115,11,7,You should bring this up with your doctor as soon as possible .,your,Object
116,11,8,You should bring this up with your doctor as soon as possible .,doctor,Object
117,11,9,You should bring this up with your doctor as soon as possible .,as,other
118,11,10,You should bring this up with your doctor as soon as possible .,soon,other
119,11,11,You should bring this up with your doctor as soon as possible .,as,other
120,11,12,You should bring this up with your doctor as soon as possible .,possible,other
121,11,13,You should bring this up with your doctor as soon as possible .,.,other
122,12,1,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",In,other
123,12,2,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",the,Object
124,12,3,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",meantime,Object
125,12,4,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",",",other
126,12,5,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",make,Predicate
127,12,6,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",sure,other
128,12,7,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",you,Subject
129,12,8,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",check,other
130,12,9,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",your,Object
131,12,10,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",feet,Object
132,12,11,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",daily,other
133,12,12,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",for,other
134,12,13,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",any,Object
135,12,14,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",cuts,Object
136,12,15,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",or,Object
137,12,16,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",injuries,Object
138,12,17,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",that,Object
139,12,18,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",you,Subject
140,12,19,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",may,Predicate
141,12,20,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",not,Predicate
142,12,21,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",feel,Object
143,12,22,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",due,Object
144,12,23,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",to,Object
145,12,24,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",the,Object
146,12,25,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",numbness,Object
147,12,26,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",.,other
148,13,1,P : I see .,P,other
149,13,2,P : I see .,:,other
150,13,3,P : I see .,I,Subject
151,13,4,P : I see .,see,Predicate
152,13,5,P : I see .,.,other
153,14,1,Can this condition worsen with time ?,Can,Predicate
154,14,2,Can this condition worsen with time ?,this,Subject
155,14,3,Can this condition worsen with time ?,condition,Subject
156,14,4,Can this condition worsen with time ?,worsen,Predicate
157,14,5,Can this condition worsen with time ?,with,other
158,14,6,Can this condition worsen with time ?,time,Object
159,14,7,Can this condition worsen with time ?,?,other
160,15,1,"A : If not managed properly , it might .",A,other
161,15,2,"A : If not managed properly , it might .",:,other
162,15,3,"A : If not managed properly , it might .",If,other
163,15,4,"A : If not managed properly , it might .",not,Predicate
164,15,5,"A : If not managed properly , it might .",managed,other
165,15,6,"A : If not managed properly , it might .",properly,other
166,15,7,"A : If not managed properly , it might .",",",other
167,15,8,"A : If not managed properly , it might .",it,Subject
168,15,9,"A : If not managed properly , it might .",might,Predicate
169,15,10,"A : If not managed properly , it might .",.,other
170,16,1,That is why early detection and appropriate treatment are essential .,That,Subject
171,16,2,That is why early detection and appropriate treatment are essential .,is,Predicate
172,16,3,That is why early detection and appropriate treatment are essential .,why,other
173,16,4,That is why early detection and appropriate treatment are essential .,early,Subject
174,16,5,That is why early detection and appropriate treatment are essential .,detection,Subject
175,16,6,That is why early detection and appropriate treatment are essential .,and,Subject
176,16,7,That is why early detection and appropriate treatment are essential .,appropriate,Subject
177,16,8,That is why early detection and appropriate treatment are essential .,treatment,Subject
178,16,9,That is why early detection and appropriate treatment are essential .,are,other
179,16,10,That is why early detection and appropriate treatment are essential .,essential,other
180,16,11,That is why early detection and appropriate treatment are essential .,.,other
181,17,1,That is why early detection and appropriate treatment are essential .,That,Subject
182,17,2,That is why early detection and appropriate treatment are essential .,is,Predicate
183,17,3,That is why early detection and appropriate treatment are essential .,why,other
184,17,4,That is why early detection and appropriate treatment are essential .,early,Subject
185,17,5,That is why early detection and appropriate treatment are essential .,detection,Subject
186,17,6,That is why early detection and appropriate treatment are essential .,and,Subject
187,17,7,That is why early detection and appropriate treatment are essential .,appropriate,Subject
188,17,8,That is why early detection and appropriate treatment are essential .,treatment,Subject
189,17,9,That is why early detection and appropriate treatment are essential .,are,other
190,17,10,That is why early detection and appropriate treatment are essential .,essential,other
191,17,11,That is why early detection and appropriate treatment are essential .,.,other
192,18,1,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,It,Subject
193,18,2,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,is,Predicate
194,18,3,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,also,other
195,18,4,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,important,other
196,18,5,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,to,Predicate
197,18,6,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,maintain,other
198,18,7,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,good,Object
199,18,8,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,blood,Object
200,18,9,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,sugar,Object
201,18,10,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,control,Object
202,18,11,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,to,Predicate
203,18,12,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,prevent,other
204,18,13,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,or,other
205,18,14,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,slow,other
206,18,15,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,the,Object
207,18,16,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,progression,Object
208,18,17,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,of,Object
209,18,18,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,neuropathy,Object
210,18,19,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,.,other
211,19,1,P : I will definitely consult my doctor about this .,P,other
212,19,2,P : I will definitely consult my doctor about this .,:,other
213,19,3,P : I will definitely consult my doctor about this .,I,Subject
214,19,4,P : I will definitely consult my doctor about this .,will,Predicate
215,19,5,P : I will definitely consult my doctor about this .,definitely,other
216,19,6,P : I will definitely consult my doctor about this .,consult,Predicate
217,19,7,P : I will definitely consult my doctor about this .,my,Object
218,19,8,P : I will definitely consult my doctor about this .,doctor,Object
219,19,9,P : I will definitely consult my doctor about this .,about,other
220,19,10,P : I will definitely consult my doctor about this .,this,Object
221,19,11,P : I will definitely consult my doctor about this .,.,other
222,20,1,Is there anything else I can do to alleviate the discomfort ?,Is,Predicate
223,20,2,Is there anything else I can do to alleviate the discomfort ?,there,other
224,20,3,Is there anything else I can do to alleviate the discomfort ?,anything,Object
225,20,4,Is there anything else I can do to alleviate the discomfort ?,else,Object
226,20,5,Is there anything else I can do to alleviate the discomfort ?,I,Subject
227,20,6,Is there anything else I can do to alleviate the discomfort ?,can,Predicate
228,20,7,Is there anything else I can do to alleviate the discomfort ?,do,Object
229,20,8,Is there anything else I can do to alleviate the discomfort ?,to,Predicate
230,20,9,Is there anything else I can do to alleviate the discomfort ?,alleviate,Object
231,20,10,Is there anything else I can do to alleviate the discomfort ?,the,Object
232,20,11,Is there anything else I can do to alleviate the discomfort ?,discomfort,Object
233,20,12,Is there anything else I can do to alleviate the discomfort ?,?,other
234,21,1,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,A,other
235,21,2,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,:,other
236,21,3,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,Regular,Subject
237,21,4,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,exercise,Subject
238,21,5,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,can,Predicate
239,21,6,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,improve,Predicate
240,21,7,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,blood,Object
241,21,8,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,flow,Object
242,21,9,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,to,other
243,21,10,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,your,Object
244,21,11,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,feet,Object
245,21,12,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,and,other
246,21,13,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,relieve,other
247,21,14,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,symptoms,Object
248,21,15,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,.,other
249,22,1,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,A,other
250,22,2,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,:,other
251,22,3,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,Regular,Subject
252,22,4,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,exercise,Subject
253,22,5,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,can,Predicate
254,22,6,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,improve,Predicate
255,22,7,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,blood,Object
256,22,8,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,flow,Object
257,22,9,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,to,other
258,22,10,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,your,Object
259,22,11,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,feet,Object
260,22,12,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,and,other
261,22,13,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,relieve,other
262,22,14,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,symptoms,Object
263,22,15,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,.,other
264,23,1,"Also , wearing warmer socks might help with the coldness .",Also,other
265,23,2,"Also , wearing warmer socks might help with the coldness .",",",other
266,23,3,"Also , wearing warmer socks might help with the coldness .",wearing,other
267,23,4,"Also , wearing warmer socks might help with the coldness .",warmer,Object
268,23,5,"Also , wearing warmer socks might help with the coldness .",socks,Object
269,23,6,"Also , wearing warmer socks might help with the coldness .",might,Predicate
270,23,7,"Also , wearing warmer socks might help with the coldness .",help,Predicate
271,23,8,"Also , wearing warmer socks might help with the coldness .",with,other
272,23,9,"Also , wearing warmer socks might help with the coldness .",the,Object
273,23,10,"Also , wearing warmer socks might help with the coldness .",coldness,Object
274,23,11,"Also , wearing warmer socks might help with the coldness .",.,other
275,24,1,Ensure that your shoes fit well to avoid potential injury .,Ensure,Predicate
276,24,2,Ensure that your shoes fit well to avoid potential injury .,that,other
277,24,3,Ensure that your shoes fit well to avoid potential injury .,your,Subject
278,24,4,Ensure that your shoes fit well to avoid potential injury .,shoes,Subject
279,24,5,Ensure that your shoes fit well to avoid potential injury .,fit,other
280,24,6,Ensure that your shoes fit well to avoid potential injury .,well,other
281,24,7,Ensure that your shoes fit well to avoid potential injury .,to,Predicate
282,24,8,Ensure that your shoes fit well to avoid potential injury .,avoid,other
283,24,9,Ensure that your shoes fit well to avoid potential injury .,potential,Object
284,24,10,Ensure that your shoes fit well to avoid potential injury .,injury,Object
285,24,11,Ensure that your shoes fit well to avoid potential injury .,.,other
286,25,1,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",A,other
287,25,2,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",:,other
288,25,3,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",Abdullah,other
289,25,4,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",",",other
290,25,5,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",I,Subject
291,25,6,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",know,Predicate
292,25,7,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",maintaining,other
293,25,8,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",a,Object
294,25,9,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",balanced,Object
295,25,10,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",diet,Object
296,25,11,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",is,other
297,25,12,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",important,other
298,25,13,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",for,other
299,25,14,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",managing,other
300,25,15,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",your,Object
301,25,16,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",diabetes,Object
302,25,17,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",.,other
303,26,1,Are you incorporating enough fiber-rich foods in your meals ?,Are,Predicate
304,26,2,Are you incorporating enough fiber-rich foods in your meals ?,you,Subject
305,26,3,Are you incorporating enough fiber-rich foods in your meals ?,incorporating,Predicate
306,26,4,Are you incorporating enough fiber-rich foods in your meals ?,enough,Object
307,26,5,Are you incorporating enough fiber-rich foods in your meals ?,fiber-rich,Object
308,26,6,Are you incorporating enough fiber-rich foods in your meals ?,foods,Object
309,26,7,Are you incorporating enough fiber-rich foods in your meals ?,in,other
310,26,8,Are you incorporating enough fiber-rich foods in your meals ?,your,Object
311,26,9,Are you incorporating enough fiber-rich foods in your meals ?,meals,Object
312,26,10,Are you incorporating enough fiber-rich foods in your meals ?,?,other
313,27,1,"P : I try to , but it is not always easy with traditional Moroccan dishes .",P,other
314,27,2,"P : I try to , but it is not always easy with traditional Moroccan dishes .",:,other
315,27,3,"P : I try to , but it is not always easy with traditional Moroccan dishes .",I,Subject
316,27,4,"P : I try to , but it is not always easy with traditional Moroccan dishes .",try,Predicate
317,27,5,"P : I try to , but it is not always easy with traditional Moroccan dishes .",to,other
318,27,6,"P : I try to , but it is not always easy with traditional Moroccan dishes .",",",other
319,27,7,"P : I try to , but it is not always easy with traditional Moroccan dishes .",but,other
320,27,8,"P : I try to , but it is not always easy with traditional Moroccan dishes .",it,Subject
321,27,9,"P : I try to , but it is not always easy with traditional Moroccan dishes .",is,other
322,27,10,"P : I try to , but it is not always easy with traditional Moroccan dishes .",not,Predicate
323,27,11,"P : I try to , but it is not always easy with traditional Moroccan dishes .",always,other
324,27,12,"P : I try to , but it is not always easy with traditional Moroccan dishes .",easy,other
325,27,13,"P : I try to , but it is not always easy with traditional Moroccan dishes .",with,other
326,27,14,"P : I try to , but it is not always easy with traditional Moroccan dishes .",traditional,Object
327,27,15,"P : I try to , but it is not always easy with traditional Moroccan dishes .",Moroccan,Object
328,27,16,"P : I try to , but it is not always easy with traditional Moroccan dishes .",dishes,Object
329,27,17,"P : I try to , but it is not always easy with traditional Moroccan dishes .",.,other
330,28,1,How can I increase my fiber intake without straying too far from our usual meals ?,How,other
331,28,2,How can I increase my fiber intake without straying too far from our usual meals ?,can,Predicate
332,28,3,How can I increase my fiber intake without straying too far from our usual meals ?,I,Subject
333,28,4,How can I increase my fiber intake without straying too far from our usual meals ?,increase,Predicate
334,28,5,How can I increase my fiber intake without straying too far from our usual meals ?,my,Object
335,28,6,How can I increase my fiber intake without straying too far from our usual meals ?,fiber,Object
336,28,7,How can I increase my fiber intake without straying too far from our usual meals ?,intake,Object
337,28,8,How can I increase my fiber intake without straying too far from our usual meals ?,without,other
338,28,9,How can I increase my fiber intake without straying too far from our usual meals ?,straying,other
339,28,10,How can I increase my fiber intake without straying too far from our usual meals ?,too,other
340,28,11,How can I increase my fiber intake without straying too far from our usual meals ?,far,other
341,28,12,How can I increase my fiber intake without straying too far from our usual meals ?,from,other
342,28,13,How can I increase my fiber intake without straying too far from our usual meals ?,our,Object
343,28,14,How can I increase my fiber intake without straying too far from our usual meals ?,usual,Object
344,28,15,How can I increase my fiber intake without straying too far from our usual meals ?,meals,Object
345,28,16,How can I increase my fiber intake without straying too far from our usual meals ?,?,other
346,29,1,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",A,Predicate
347,29,2,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",:,other
348,29,3,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",You,Subject
349,29,4,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",could,Predicate
350,29,5,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",consider,other
351,29,6,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",including,other
352,29,7,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",more,Object
353,29,8,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",legumes,Object
354,29,9,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",",",Object
355,29,10,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",like,Object
356,29,11,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",lentils,Object
357,29,12,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",and,Object
358,29,13,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",chickpeas,Object
359,29,14,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",",",Object
360,29,15,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",which,Subject
361,29,16,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",are,Object
362,29,17,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",common,Object
363,29,18,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",in,Object
364,29,19,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",Moroccan,Object
365,29,20,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",cuisine,Object
366,29,21,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",and,Object
367,29,22,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",are,Object
368,29,23,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",high,Object
