Unnamed: 0,sentence_id,token_id,sentence,token,spo_label,triple
25,3,6,"A : It could be , Abdullah .",",",other,"('It', 'could be', '')"
26,3,7,"A : It could be , Abdullah .",Abdullah,other,"('It', 'could be', '')"
27,3,8,"A : It could be , Abdullah .",.,other,"('It', 'could be', '')"
28,4,1,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",Diabetes,Subject,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
29,4,2,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",can,Predicate,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
30,4,3,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",cause,Predicate,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
31,4,4,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",nerve,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
32,4,5,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",damage,Object,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
33,4,6,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",known,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
34,4,7,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",as,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
35,4,8,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",peripheral,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
36,4,9,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",neuropathy,Object,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
37,4,10,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",",",other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
38,4,11,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",which,Subject,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
39,4,12,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",often,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
40,4,13,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",affects,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
41,4,14,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",the,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
42,4,15,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",feet,Object,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
43,4,16,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",.,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
44,5,1,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",Diabetes,Subject,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
45,5,2,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",can,Predicate,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
46,5,3,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",cause,Predicate,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
47,5,4,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",nerve,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
48,5,5,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",damage,Object,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
49,5,6,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",known,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
50,5,7,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",as,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
51,5,8,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",peripheral,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
52,5,9,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",neuropathy,Object,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
53,5,10,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",",",other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
54,5,11,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",which,Subject,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
55,5,12,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",often,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
56,5,13,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",affects,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
57,5,14,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",the,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
58,5,15,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",feet,Object,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
59,5,16,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",.,other,"('Diabetes which', 'can cause', 'damage neuropathy feet')"
60,6,1,"This can lead to a sense of discomfort , numbness or pain .",This,Subject,"('This', 'can lead', 'sense discomfort')"
61,6,2,"This can lead to a sense of discomfort , numbness or pain .",can,Predicate,"('This', 'can lead', 'sense discomfort')"
62,6,3,"This can lead to a sense of discomfort , numbness or pain .",lead,Predicate,"('This', 'can lead', 'sense discomfort')"
63,6,4,"This can lead to a sense of discomfort , numbness or pain .",to,other,"('This', 'can lead', 'sense discomfort')"
64,6,5,"This can lead to a sense of discomfort , numbness or pain .",a,other,"('This', 'can lead', 'sense discomfort')"
65,6,6,"This can lead to a sense of discomfort , numbness or pain .",sense,Object,"('This', 'can lead', 'sense discomfort')"
66,6,7,"This can lead to a sense of discomfort , numbness or pain .",of,other,"('This', 'can lead', 'sense discomfort')"
67,6,8,"This can lead to a sense of discomfort , numbness or pain .",discomfort,Object,"('This', 'can lead', 'sense discomfort')"
68,6,9,"This can lead to a sense of discomfort , numbness or pain .",",",other,"('This', 'can lead', 'sense discomfort')"
69,6,10,"This can lead to a sense of discomfort , numbness or pain .",numbness,other,"('This', 'can lead', 'sense discomfort')"
70,6,11,"This can lead to a sense of discomfort , numbness or pain .",or,other,"('This', 'can lead', 'sense discomfort')"
71,6,12,"This can lead to a sense of discomfort , numbness or pain .",pain,other,"('This', 'can lead', 'sense discomfort')"
72,6,13,"This can lead to a sense of discomfort , numbness or pain .",.,other,"('This', 'can lead', 'sense discomfort')"
73,7,1,Do you notice any specific pattern ?,Do,Predicate,"('you', 'Do notice', 'pattern')"
74,7,2,Do you notice any specific pattern ?,you,Subject,"('you', 'Do notice', 'pattern')"
75,7,3,Do you notice any specific pattern ?,notice,Predicate,"('you', 'Do notice', 'pattern')"
76,7,4,Do you notice any specific pattern ?,any,other,"('you', 'Do notice', 'pattern')"
77,7,5,Do you notice any specific pattern ?,specific,other,"('you', 'Do notice', 'pattern')"
78,7,6,Do you notice any specific pattern ?,pattern,Object,"('you', 'Do notice', 'pattern')"
79,7,7,Do you notice any specific pattern ?,?,other,"('you', 'Do notice', 'pattern')"
80,8,1,P : I mostly feel it at night .,P,other,"('I', 'feel', 'it night')"
81,8,2,P : I mostly feel it at night .,:,other,"('I', 'feel', 'it night')"
82,8,3,P : I mostly feel it at night .,I,Subject,"('I', 'feel', 'it night')"
83,8,4,P : I mostly feel it at night .,mostly,other,"('I', 'feel', 'it night')"
84,8,5,P : I mostly feel it at night .,feel,Predicate,"('I', 'feel', 'it night')"
85,8,6,P : I mostly feel it at night .,it,Object,"('I', 'feel', 'it night')"
86,8,7,P : I mostly feel it at night .,at,other,"('I', 'feel', 'it night')"
87,8,8,P : I mostly feel it at night .,night,Object,"('I', 'feel', 'it night')"
88,8,9,P : I mostly feel it at night .,.,other,"('I', 'feel', 'it night')"
89,9,1,"Also , my feet get quite cold sometimes .",Also,other,"('feet', 'get', '')"
90,9,2,"Also , my feet get quite cold sometimes .",",",other,"('feet', 'get', '')"
91,9,3,"Also , my feet get quite cold sometimes .",my,other,"('feet', 'get', '')"
92,9,4,"Also , my feet get quite cold sometimes .",feet,Subject,"('feet', 'get', '')"
93,9,5,"Also , my feet get quite cold sometimes .",get,Predicate,"('feet', 'get', '')"
94,9,6,"Also , my feet get quite cold sometimes .",quite,other,"('feet', 'get', '')"
95,9,7,"Also , my feet get quite cold sometimes .",cold,other,"('feet', 'get', '')"
96,9,8,"Also , my feet get quite cold sometimes .",sometimes,other,"('feet', 'get', '')"
97,9,9,"Also , my feet get quite cold sometimes .",.,other,"('feet', 'get', '')"
98,10,1,A : That is a common symptom of peripheral neuropathy .,A,other,"('That', 'is', 'symptom neuropathy')"
99,10,2,A : That is a common symptom of peripheral neuropathy .,:,other,"('That', 'is', 'symptom neuropathy')"
100,10,3,A : That is a common symptom of peripheral neuropathy .,That,Subject,"('That', 'is', 'symptom neuropathy')"
101,10,4,A : That is a common symptom of peripheral neuropathy .,is,Predicate,"('That', 'is', 'symptom neuropathy')"
102,10,5,A : That is a common symptom of peripheral neuropathy .,a,other,"('That', 'is', 'symptom neuropathy')"
103,10,6,A : That is a common symptom of peripheral neuropathy .,common,other,"('That', 'is', 'symptom neuropathy')"
104,10,7,A : That is a common symptom of peripheral neuropathy .,symptom,Object,"('That', 'is', 'symptom neuropathy')"
105,10,8,A : That is a common symptom of peripheral neuropathy .,of,other,"('That', 'is', 'symptom neuropathy')"
106,10,9,A : That is a common symptom of peripheral neuropathy .,peripheral,other,"('That', 'is', 'symptom neuropathy')"
107,10,10,A : That is a common symptom of peripheral neuropathy .,neuropathy,Object,"('That', 'is', 'symptom neuropathy')"
108,10,11,A : That is a common symptom of peripheral neuropathy .,.,other,"('That', 'is', 'symptom neuropathy')"
109,11,1,You should bring this up with your doctor as soon as possible .,You,Subject,"('You', 'should bring', 'this doctor')"
110,11,2,You should bring this up with your doctor as soon as possible .,should,Predicate,"('You', 'should bring', 'this doctor')"
111,11,3,You should bring this up with your doctor as soon as possible .,bring,Predicate,"('You', 'should bring', 'this doctor')"
112,11,4,You should bring this up with your doctor as soon as possible .,this,Object,"('You', 'should bring', 'this doctor')"
113,11,5,You should bring this up with your doctor as soon as possible .,up,other,"('You', 'should bring', 'this doctor')"
114,11,6,You should bring this up with your doctor as soon as possible .,with,other,"('You', 'should bring', 'this doctor')"
115,11,7,You should bring this up with your doctor as soon as possible .,your,other,"('You', 'should bring', 'this doctor')"
116,11,8,You should bring this up with your doctor as soon as possible .,doctor,Object,"('You', 'should bring', 'this doctor')"
117,11,9,You should bring this up with your doctor as soon as possible .,as,other,"('You', 'should bring', 'this doctor')"
118,11,10,You should bring this up with your doctor as soon as possible .,soon,other,"('You', 'should bring', 'this doctor')"
119,11,11,You should bring this up with your doctor as soon as possible .,as,other,"('You', 'should bring', 'this doctor')"
120,11,12,You should bring this up with your doctor as soon as possible .,possible,other,"('You', 'should bring', 'this doctor')"
121,11,13,You should bring this up with your doctor as soon as possible .,.,other,"('You', 'should bring', 'this doctor')"
122,12,1,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",In,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
123,12,2,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",the,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
124,12,3,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",meantime,Object,"('you you', 'make may not', 'meantime feet cuts that numbness')"
125,12,4,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",",",other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
126,12,5,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",make,Predicate,"('you you', 'make may not', 'meantime feet cuts that numbness')"
127,12,6,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",sure,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
128,12,7,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",you,Subject,"('you you', 'make may not', 'meantime feet cuts that numbness')"
129,12,8,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",check,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
130,12,9,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",your,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
131,12,10,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",feet,Object,"('you you', 'make may not', 'meantime feet cuts that numbness')"
132,12,11,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",daily,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
133,12,12,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",for,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
134,12,13,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",any,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
135,12,14,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",cuts,Object,"('you you', 'make may not', 'meantime feet cuts that numbness')"
136,12,15,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",or,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
137,12,16,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",injuries,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
138,12,17,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",that,Object,"('you you', 'make may not', 'meantime feet cuts that numbness')"
139,12,18,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",you,Subject,"('you you', 'make may not', 'meantime feet cuts that numbness')"
140,12,19,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",may,Predicate,"('you you', 'make may not', 'meantime feet cuts that numbness')"
141,12,20,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",not,Predicate,"('you you', 'make may not', 'meantime feet cuts that numbness')"
142,12,21,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",feel,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
143,12,22,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",due,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
144,12,23,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",to,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
145,12,24,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",the,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
146,12,25,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",numbness,Object,"('you you', 'make may not', 'meantime feet cuts that numbness')"
147,12,26,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",.,other,"('you you', 'make may not', 'meantime feet cuts that numbness')"
148,13,1,P : I see .,P,other,"('I', 'see', '')"
149,13,2,P : I see .,:,other,"('I', 'see', '')"
150,13,3,P : I see .,I,Subject,"('I', 'see', '')"
151,13,4,P : I see .,see,Predicate,"('I', 'see', '')"
152,13,5,P : I see .,.,other,"('I', 'see', '')"
153,14,1,Can this condition worsen with time ?,Can,Predicate,"('condition', 'Can worsen', 'time')"
154,14,2,Can this condition worsen with time ?,this,other,"('condition', 'Can worsen', 'time')"
155,14,3,Can this condition worsen with time ?,condition,Subject,"('condition', 'Can worsen', 'time')"
156,14,4,Can this condition worsen with time ?,worsen,Predicate,"('condition', 'Can worsen', 'time')"
157,14,5,Can this condition worsen with time ?,with,other,"('condition', 'Can worsen', 'time')"
158,14,6,Can this condition worsen with time ?,time,Object,"('condition', 'Can worsen', 'time')"
159,14,7,Can this condition worsen with time ?,?,other,"('condition', 'Can worsen', 'time')"
160,15,1,"A : If not managed properly , it might .",A,other,"('it', 'not might', '')"
161,15,2,"A : If not managed properly , it might .",:,other,"('it', 'not might', '')"
162,15,3,"A : If not managed properly , it might .",If,other,"('it', 'not might', '')"
163,15,4,"A : If not managed properly , it might .",not,Predicate,"('it', 'not might', '')"
164,15,5,"A : If not managed properly , it might .",managed,other,"('it', 'not might', '')"
165,15,6,"A : If not managed properly , it might .",properly,other,"('it', 'not might', '')"
166,15,7,"A : If not managed properly , it might .",",",other,"('it', 'not might', '')"
167,15,8,"A : If not managed properly , it might .",it,Subject,"('it', 'not might', '')"
168,15,9,"A : If not managed properly , it might .",might,Predicate,"('it', 'not might', '')"
169,15,10,"A : If not managed properly , it might .",.,other,"('it', 'not might', '')"
170,16,1,That is why early detection and appropriate treatment are essential .,That,Subject,"('That treatment', 'is', '')"
171,16,2,That is why early detection and appropriate treatment are essential .,is,Predicate,"('That treatment', 'is', '')"
172,16,3,That is why early detection and appropriate treatment are essential .,why,other,"('That treatment', 'is', '')"
173,16,4,That is why early detection and appropriate treatment are essential .,early,other,"('That treatment', 'is', '')"
174,16,5,That is why early detection and appropriate treatment are essential .,detection,other,"('That treatment', 'is', '')"
175,16,6,That is why early detection and appropriate treatment are essential .,and,other,"('That treatment', 'is', '')"
176,16,7,That is why early detection and appropriate treatment are essential .,appropriate,other,"('That treatment', 'is', '')"
177,16,8,That is why early detection and appropriate treatment are essential .,treatment,Subject,"('That treatment', 'is', '')"
178,16,9,That is why early detection and appropriate treatment are essential .,are,other,"('That treatment', 'is', '')"
179,16,10,That is why early detection and appropriate treatment are essential .,essential,other,"('That treatment', 'is', '')"
180,16,11,That is why early detection and appropriate treatment are essential .,.,other,"('That treatment', 'is', '')"
181,17,1,That is why early detection and appropriate treatment are essential .,That,Subject,"('That treatment', 'is', '')"
182,17,2,That is why early detection and appropriate treatment are essential .,is,Predicate,"('That treatment', 'is', '')"
183,17,3,That is why early detection and appropriate treatment are essential .,why,other,"('That treatment', 'is', '')"
184,17,4,That is why early detection and appropriate treatment are essential .,early,other,"('That treatment', 'is', '')"
185,17,5,That is why early detection and appropriate treatment are essential .,detection,other,"('That treatment', 'is', '')"
186,17,6,That is why early detection and appropriate treatment are essential .,and,other,"('That treatment', 'is', '')"
187,17,7,That is why early detection and appropriate treatment are essential .,appropriate,other,"('That treatment', 'is', '')"
188,17,8,That is why early detection and appropriate treatment are essential .,treatment,Subject,"('That treatment', 'is', '')"
189,17,9,That is why early detection and appropriate treatment are essential .,are,other,"('That treatment', 'is', '')"
190,17,10,That is why early detection and appropriate treatment are essential .,essential,other,"('That treatment', 'is', '')"
191,17,11,That is why early detection and appropriate treatment are essential .,.,other,"('That treatment', 'is', '')"
192,18,1,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,It,Subject,"('It', 'is to to', 'control progression neuropathy')"
193,18,2,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,is,Predicate,"('It', 'is to to', 'control progression neuropathy')"
194,18,3,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,also,other,"('It', 'is to to', 'control progression neuropathy')"
195,18,4,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,important,other,"('It', 'is to to', 'control progression neuropathy')"
196,18,5,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,to,Predicate,"('It', 'is to to', 'control progression neuropathy')"
197,18,6,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,maintain,other,"('It', 'is to to', 'control progression neuropathy')"
198,18,7,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,good,other,"('It', 'is to to', 'control progression neuropathy')"
199,18,8,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,blood,other,"('It', 'is to to', 'control progression neuropathy')"
200,18,9,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,sugar,other,"('It', 'is to to', 'control progression neuropathy')"
201,18,10,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,control,Object,"('It', 'is to to', 'control progression neuropathy')"
202,18,11,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,to,Predicate,"('It', 'is to to', 'control progression neuropathy')"
203,18,12,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,prevent,other,"('It', 'is to to', 'control progression neuropathy')"
204,18,13,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,or,other,"('It', 'is to to', 'control progression neuropathy')"
205,18,14,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,slow,other,"('It', 'is to to', 'control progression neuropathy')"
206,18,15,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,the,other,"('It', 'is to to', 'control progression neuropathy')"
207,18,16,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,progression,Object,"('It', 'is to to', 'control progression neuropathy')"
208,18,17,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,of,other,"('It', 'is to to', 'control progression neuropathy')"
209,18,18,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,neuropathy,Object,"('It', 'is to to', 'control progression neuropathy')"
210,18,19,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,.,other,"('It', 'is to to', 'control progression neuropathy')"
211,19,1,P : I will definitely consult my doctor about this .,P,other,"('I', 'will consult', 'doctor this')"
212,19,2,P : I will definitely consult my doctor about this .,:,other,"('I', 'will consult', 'doctor this')"
213,19,3,P : I will definitely consult my doctor about this .,I,Subject,"('I', 'will consult', 'doctor this')"
214,19,4,P : I will definitely consult my doctor about this .,will,Predicate,"('I', 'will consult', 'doctor this')"
215,19,5,P : I will definitely consult my doctor about this .,definitely,other,"('I', 'will consult', 'doctor this')"
216,19,6,P : I will definitely consult my doctor about this .,consult,Predicate,"('I', 'will consult', 'doctor this')"
217,19,7,P : I will definitely consult my doctor about this .,my,other,"('I', 'will consult', 'doctor this')"
218,19,8,P : I will definitely consult my doctor about this .,doctor,Object,"('I', 'will consult', 'doctor this')"
219,19,9,P : I will definitely consult my doctor about this .,about,other,"('I', 'will consult', 'doctor this')"
220,19,10,P : I will definitely consult my doctor about this .,this,Object,"('I', 'will consult', 'doctor this')"
221,19,11,P : I will definitely consult my doctor about this .,.,other,"('I', 'will consult', 'doctor this')"
222,20,1,Is there anything else I can do to alleviate the discomfort ?,Is,Predicate,"('I', 'Is can to', 'anything discomfort')"
223,20,2,Is there anything else I can do to alleviate the discomfort ?,there,other,"('I', 'Is can to', 'anything discomfort')"
224,20,3,Is there anything else I can do to alleviate the discomfort ?,anything,Object,"('I', 'Is can to', 'anything discomfort')"
225,20,4,Is there anything else I can do to alleviate the discomfort ?,else,other,"('I', 'Is can to', 'anything discomfort')"
226,20,5,Is there anything else I can do to alleviate the discomfort ?,I,Subject,"('I', 'Is can to', 'anything discomfort')"
227,20,6,Is there anything else I can do to alleviate the discomfort ?,can,Predicate,"('I', 'Is can to', 'anything discomfort')"
228,20,7,Is there anything else I can do to alleviate the discomfort ?,do,other,"('I', 'Is can to', 'anything discomfort')"
229,20,8,Is there anything else I can do to alleviate the discomfort ?,to,Predicate,"('I', 'Is can to', 'anything discomfort')"
230,20,9,Is there anything else I can do to alleviate the discomfort ?,alleviate,other,"('I', 'Is can to', 'anything discomfort')"
231,20,10,Is there anything else I can do to alleviate the discomfort ?,the,other,"('I', 'Is can to', 'anything discomfort')"
232,20,11,Is there anything else I can do to alleviate the discomfort ?,discomfort,Object,"('I', 'Is can to', 'anything discomfort')"
233,20,12,Is there anything else I can do to alleviate the discomfort ?,?,other,"('I', 'Is can to', 'anything discomfort')"
234,21,1,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,A,other,"('exercise', 'can improve', 'flow feet symptoms')"
235,21,2,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,:,other,"('exercise', 'can improve', 'flow feet symptoms')"
236,21,3,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,Regular,other,"('exercise', 'can improve', 'flow feet symptoms')"
237,21,4,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,exercise,Subject,"('exercise', 'can improve', 'flow feet symptoms')"
238,21,5,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,can,Predicate,"('exercise', 'can improve', 'flow feet symptoms')"
239,21,6,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,improve,Predicate,"('exercise', 'can improve', 'flow feet symptoms')"
240,21,7,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,blood,other,"('exercise', 'can improve', 'flow feet symptoms')"
241,21,8,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,flow,Object,"('exercise', 'can improve', 'flow feet symptoms')"
242,21,9,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,to,other,"('exercise', 'can improve', 'flow feet symptoms')"
243,21,10,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,your,other,"('exercise', 'can improve', 'flow feet symptoms')"
244,21,11,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,feet,Object,"('exercise', 'can improve', 'flow feet symptoms')"
245,21,12,A : Regular exercise can improve blood flow to your feet and relieve symptoms .,and,other,"('exercise', 'can improve', 'flow feet symptoms')"
