token,sentence_id,predicted_label,gold_label
it,15,Subject,Subject
might,15,Predicate,Predicate
.,15,other,other
that,16,other,other
is,16,Predicate,other
why,16,other,other
early,16,Subject,Subject
detection,16,Subject,Subject
and,16,other,other
appropriate,16,Subject,other
treatment,16,Subject,other
are,16,Predicate,Predicate
essential,16,Object,Object
.,16,other,other
that,17,other,other
is,17,other,other
why,17,other,other
early,17,other,other
detection,17,other,other
and,17,other,other
appropriate,17,other,Subject
treatment,17,other,Subject
are,17,Predicate,Predicate
essential,17,other,Object
.,17,other,other
it,18,Subject,other
is,18,Predicate,Predicate
also,18,Predicate,other
important,18,Object,Object
to,18,Predicate,Subject
maintain,18,Predicate,Subject
good,18,Object,Subject
blood,18,Object,Subject
sugar,18,Object,Subject
control,18,Object,Subject
to,18,Predicate,Subject
prevent,18,Predicate,Subject
or,18,other,Subject
slow,18,Predicate,Subject
the,18,Object,Subject
progression,18,Object,Subject
of,18,Object,Subject
ne,18,Object,Subject
.,18,other,other
p,19,other,other
:,19,other,other
i,19,Subject,Subject
will,19,Predicate,Predicate
definitely,19,Predicate,Predicate
consult,19,Predicate,Predicate
my,19,Object,Object
doctor,19,Object,Object
about,19,Predicate,Object
this,19,Object,Object
.,19,other,other
is,20,Predicate,other
there,20,Subject,other
anything,20,other,other
else,20,other,other
i,20,Subject,other
can,20,Predicate,other
do,20,Predicate,other
to,20,Predicate,other
alleviate,20,Predicate,other
the,20,Object,other
discomfort,20,Object,other
?,20,other,other
a,21,other,other
:,21,other,other
regular,21,Subject,Subject
exercise,21,Subject,Subject
can,21,Predicate,Predicate
improve,21,Predicate,Predicate
blood,21,Object,Object
flow,21,Object,Object
to,21,Object,Object
your,21,Object,Object
feet,21,Object,Object
and,21,other,other
relieve,21,Predicate,other
symptoms,21,Object,other
.,21,other,other
a,22,other,other
:,22,other,other
regular,22,Subject,Subject
exercise,22,Subject,Subject
can,22,Predicate,Predicate
improve,22,Predicate,other
blood,22,Object,other
flow,22,Object,other
to,22,Object,other
your,22,Object,other
feet,22,Object,other
and,22,other,other
relieve,22,other,Predicate
symptoms,22,Object,Object
.,22,other,other
also,23,other,other
",",23,other,other
wearing,23,Subject,Subject
warmer,23,Subject,Subject
socks,23,Subject,Subject
might,23,Predicate,Predicate
help,23,Predicate,Predicate
with,23,Predicate,Predicate
the,23,Object,Object
cold,23,Object,Object
.,23,other,other
ensure,24,Predicate,Predicate
that,24,other,Object
your,24,Subject,Object
shoes,24,Subject,Object
fit,24,Predicate,Object
well,24,Object,Object
to,24,Predicate,Object
avoid,24,Predicate,Object
potential,24,Object,Object
injury,24,Object,Object
.,24,other,other
a,25,other,other
:,25,other,other
abdullah,25,other,other
",",25,other,other
i,25,Subject,other
know,25,Predicate,other
maintaining,25,Subject,Subject
a,25,Subject,Subject
balanced,25,Subject,Subject
diet,25,Object,Subject
is,25,Predicate,Predicate
important,25,Object,Predicate
for,25,Predicate,Predicate
managing,25,Predicate,Predicate
your,25,Object,Object
diabetes,25,Object,Object
.,25,other,other
are,26,Predicate,other
you,26,Subject,other
incorporating,26,Predicate,other
enough,26,Object,other
fiber,26,Object,other
foods,26,Object,other
in,26,Object,other
your,26,Object,other
meals,26,Object,other
?,26,other,other
p,27,other,other
:,27,other,other
i,27,Subject,Subject
try,27,other,Predicate
to,27,other,Predicate
",",27,other,other
but,27,other,other
it,27,Subject,Subject
is,27,Predicate,Predicate
not,27,Predicate,Predicate
always,27,Predicate,Predicate
easy,27,Object,Predicate
with,27,Predicate,Predicate
traditional,27,Object,Object
moroccan,27,Object,Object
dishes,27,Object,Object
.,27,other,other
how,28,other,other
can,28,Predicate,other
i,28,Subject,other
increase,28,Predicate,other
my,28,Object,other
fiber,28,Object,other
intake,28,Object,other
without,28,Predicate,other
stray,28,Predicate,other
too,28,Object,other
far,28,Predicate,other
from,28,Predicate,other
our,28,Object,other
usual,28,Object,other
meals,28,Object,other
?,28,other,other
a,29,other,other
:,29,other,other
you,29,Subject,Subject
could,29,Predicate,Predicate
consider,29,Predicate,Predicate
including,29,Predicate,Predicate
more,29,Object,Object
leg,29,Object,Object
",",29,other,other
like,29,other,Object
lent,29,other,Object
and,29,other,Object
chick,29,other,Object
",",29,other,other
which,29,other,other
are,29,Predicate,other
common,29,Object,other
in,29,other,other
moroccan,29,Object,other
cuisine,29,Object,other
and,29,other,other
are,29,Predicate,other
high,29,Object,other
in,29,other,other
fiber,29,Object,other
.,29,other,other
a,30,other,other
:,30,other,other
you,30,Subject,other
could,30,Predicate,other
consider,30,Predicate,other
including,30,Predicate,other
more,30,Object,other
leg,30,Object,Subject
",",30,other,other
like,30,Object,Subject
lent,30,Object,Subject
and,30,other,Subject
chick,30,Object,Subject
",",30,other,other
which,30,Subject,other
are,30,Predicate,Predicate
common,30,Object,Object
in,30,Object,Object
moroccan,30,Object,Object
cuisine,30,Object,Object
and,30,other,other
are,30,Predicate,other
high,30,Predicate,other
in,30,Object,other
fiber,30,Object,other
.,30,other,other
a,31,other,other
:,31,other,other
you,31,Subject,other
could,31,Predicate,other
consider,31,Predicate,other
including,31,Predicate,other
more,31,Object,other
leg,31,Object,Subject
",",31,other,other
like,31,other,Subject
lent,31,other,Subject
and,31,other,Subject
chick,31,Object,Subject
",",31,other,other
which,31,other,other
are,31,Predicate,other
common,31,Object,other
in,31,Object,other
moroccan,31,Object,other
cuisine,31,Object,other
and,31,other,other
are,31,Predicate,Predicate
high,31,Object,Object
in,31,other,Object
fiber,31,Object,Object
.,31,other,other
whole,32,Subject,Subject
grains,32,Subject,Subject
",",32,other,other
like,32,Subject,Subject
co,32,Subject,Subject
and,32,other,Subject
bu,32,Subject,Subject
",",32,other,other
are,32,Predicate,Predicate
also,32,Predicate,other
good,32,Object,Object
options,32,Object,Object
.,32,other,other
fruits,33,Subject,Subject
and,33,other,other
vegetables,33,Subject,other
provide,33,Predicate,Predicate
fiber,33,Object,Object
as,33,Object,other
well,33,Object,other
",",33,other,other
so,33,other,other
consider,33,Predicate,other
adding,33,Predicate,other
more,33,Object,other
of,33,Object,other
those,33,Object,other
to,33,Object,other
your,33,Object,other
meals,33,Object,other
too,33,Object,other
.,33,other,other
fruits,34,other,other
and,34,other,other
vegetables,34,Subject,Subject
provide,34,Predicate,Predicate
fiber,34,Object,Object
as,34,Object,other
well,34,other,other
",",34,other,other
so,34,other,other
consider,34,Predicate,other
adding,34,Predicate,other
more,34,other,other
of,34,Object,other
those,34,other,other
to,34,other,other
your,34,other,other
meals,34,other,other
too,34,other,other
.,34,other,other
.,24,other,other
a,25,other,other
:,25,other,other
abdullah,25,other,other
",",25,other,other
i,25,Subject,other
know,25,Predicate,other
maintaining,25,Subject,Subject
a,25,Object,Subject
balanced,25,Object,Subject
diet,25,Object,Subject
is,25,Predicate,Predicate
important,25,Object,Predicate
for,25,Predicate,Predicate
managing,25,Object,Predicate
your,25,Object,Object
diabetes,25,Object,Object
.,25,other,other
are,26,Predicate,other
you,26,Subject,other
incorporating,26,Predicate,other
enough,26,Object,other
fiber,26,Object,other
foods,26,Object,other
in,26,Object,other
your,26,Object,other
meals,26,Object,other
?,26,other,other
p,27,other,other
:,27,other,other
i,27,Subject,Subject
try,27,Predicate,Predicate
to,27,other,Predicate
",",27,other,other
but,27,other,other
it,27,Subject,Subject
is,27,Predicate,Predicate
not,27,Predicate,Predicate
always,27,Predicate,Predicate
easy,27,Object,Predicate
with,27,Object,Predicate
traditional,27,Object,Object
moroccan,27,Object,Object
dishes,27,Object,Object
.,27,other,other
how,28,other,other
can,28,Predicate,other
i,28,Subject,other
increase,28,Predicate,other
my,28,Object,other
fiber,28,Object,other
intake,28,Object,other
without,28,Predicate,other
stray,28,Predicate,other
too,28,Object,other
far,28,Predicate,other
from,28,Predicate,other
our,28,Object,other
usual,28,Object,other
meals,28,Object,other
?,28,other,other
a,29,other,other
:,29,other,other
you,29,Subject,Subject
could,29,Predicate,Predicate
consider,29,Predicate,Predicate
including,29,Predicate,Predicate
more,29,Object,Object
leg,29,Object,Object
",",29,other,other
like,29,Object,Object
lent,29,Object,Object
and,29,other,Object
chick,29,Object,Object
",",29,other,other
which,29,other,other
are,29,Predicate,other
common,29,Object,other
in,29,Object,other
moroccan,29,Object,other
cuisine,29,Object,other
and,29,other,other
are,29,Predicate,other
high,29,Object,other
in,29,Object,other
fiber,29,Object,other
.,29,other,other
a,30,other,other
:,30,other,other
you,30,Subject,other
could,30,Predicate,other
consider,30,Predicate,other
including,30,Predicate,other
more,30,Object,other
leg,30,other,Subject
",",30,other,other
like,30,other,Subject
lent,30,other,Subject
and,30,other,Subject
chick,30,other,Subject
",",30,other,other
which,30,other,other
are,30,Predicate,Predicate
common,30,Object,Object
in,30,Object,Object
moroccan,30,Object,Object
cuisine,30,Object,Object
and,30,other,other
are,30,Predicate,other
high,30,Object,other
in,30,Object,other
fiber,30,Object,other
.,30,other,other
a,31,other,other
:,31,other,other
you,31,Subject,other
could,31,Predicate,other
consider,31,Predicate,other
including,31,Predicate,other
more,31,Object,other
leg,31,Object,Subject
",",31,other,other
like,31,Object,Subject
lent,31,other,Subject
and,31,other,Subject
chick,31,Object,Subject
",",31,other,other
which,31,other,other
are,31,Predicate,other
common,31,Object,other
in,31,Object,other
moroccan,31,Object,other
cuisine,31,Object,other
and,31,other,other
are,31,Predicate,Predicate
high,31,Object,Object
in,31,Object,Object
fiber,31,Object,Object
.,31,other,other
whole,32,Subject,Subject
grains,32,Subject,Subject
",",32,other,other
like,32,Subject,Subject
co,32,Subject,Subject
and,32,other,Subject
bu,32,Subject,Subject
",",32,other,other
are,32,Predicate,Predicate
also,32,Predicate,other
good,32,Object,Object
options,32,Object,Object
.,32,other,other
fruits,33,Subject,Subject
and,33,other,other
vegetables,33,Subject,other
provide,33,Predicate,Predicate
fiber,33,Object,Object
as,33,Object,other
well,33,Object,other
",",33,other,other
so,33,other,other
consider,33,Predicate,other
adding,33,Predicate,other
more,33,Object,other
of,33,Object,other
those,33,Object,other
to,33,Object,other
your,33,Object,other
meals,33,Object,other
too,33,Object,other
.,33,other,other
fruits,34,Subject,other
and,34,other,other
vegetables,34,Subject,Subject
provide,34,Predicate,Predicate
fiber,34,Object,Object
as,34,other,other
well,34,other,other
",",34,other,other
so,34,other,other
consider,34,Predicate,other
adding,34,other,other
more,34,Object,other
of,34,Object,other
those,34,Object,other
to,34,other,other
your,34,other,other
meals,34,Object,other
too,34,other,other
.,34,other,other
fruits,35,other,other
and,35,other,other
vegetables,35,other,other
provide,35,other,other
fiber,35,other,other
as,35,other,other
well,35,other,other
",",35,other,other
so,35,other,other
consider,35,Predicate,Predicate
adding,35,other,Predicate
more,35,other,Object
of,35,Object,Object
those,35,Object,Object
to,35,other,Object
your,35,Object,Object
meals,35,Object,Object
too,35,other,Object
.,35,other,other
p,36,other,other
:,36,other,other
lent,36,other,Subject
and,36,other,other
co,36,other,other
are,36,Predicate,Predicate
staples,36,Object,Object
in,36,Object,Object
our,36,Object,Object
kitchen,36,Object,Object
",",36,other,other
so,36,other,other
i,36,Subject,other
will,36,Predicate,other
try,36,Predicate,other
to,36,Predicate,other
use,36,Predicate,other
them,36,Object,other
more,36,Object,other
.,36,other,other
p,37,other,other
:,37,other,other
lent,37,other,other
and,37,other,other
co,37,other,Subject
are,37,Predicate,Predicate
staples,37,other,Object
in,37,other,Object
our,37,other,Object
kitchen,37,other,Object
",",37,other,other
so,37,other,other
i,37,other,other
will,37,other,other
try,37,other,other
to,37,other,other
use,37,other,other
them,37,other,other
more,37,other,other
.,37,other,other
p,38,other,other
:,38,other,other
lent,38,other,other
and,38,other,other
co,38,other,other
are,38,Predicate,other
staples,38,Object,other
in,38,other,other
our,38,other,other
kitchen,38,other,other
",",38,other,other
so,38,other,other
i,38,other,Subject
will,38,other,Predicate
try,38,other,Predicate
to,38,other,Predicate
use,38,other,Predicate
them,38,other,Object
more,38,other,Object
.,38,other,other
what,39,other,other
about,39,other,other
during,39,other,other
rama,39,other,other
when,39,other,other
we,39,other,other
fast,39,other,other
?,39,other,other
how,40,other,other
do,40,Predicate,other
i,40,Subject,other
maintain,40,Predicate,other
a,40,Object,other
balanced,40,Object,other
diet,40,Object,other
then,40,Object,other
?,40,other,other
a,41,other,other
:,41,other,other
fast,41,Subject,Subject
during,41,Subject,Subject
rama,41,Subject,Subject
can,41,Predicate,Predicate
indeed,41,Predicate,other
be,41,Predicate,Predicate
a,41,Object,Object
challenge,41,Object,Object
",",41,other,other
abdullah,41,other,other
.,41,other,other
try,42,Predicate,Predicate
to,42,Predicate,Predicate
focus,42,Predicate,Predicate
on,42,Predicate,Predicate
slow,42,Object,Object
car,42,Object,Object
and,42,other,Object
protein,42,Object,Object
foods,42,Object,Object
during,42,Object,Object
su,42,Object,Object
to,42,Predicate,other
keep,42,Predicate,other
your,42,Object,other
blood,42,Object,other
sugar,42,Object,other
stable,42,Object,other
throughout,42,Object,other
the,42,Object,other
day,42,Object,other
.,42,other,other
try,43,Predicate,other
to,43,Predicate,other
focus,43,Predicate,other
on,43,Predicate,other
slow,43,other,Subject
car,43,Object,Subject
and,43,other,Subject
protein,43,Object,Subject
foods,43,Object,Subject
during,43,Object,other
su,43,other,other
to,43,Predicate,other
keep,43,Predicate,Predicate
your,43,Object,Object
blood,43,Object,Object
sugar,43,Object,Object
stable,43,Object,Object
throughout,43,Object,Object
the,43,Object,Object
day,43,Object,Object
.,43,other,other
for,44,other,other
if,44,other,other
",",44,other,other
start,44,Predicate,Predicate
with,44,Predicate,Predicate
dates,44,Object,Object
as,44,other,other
they,44,Subject,Subject
are,44,Predicate,Predicate
a,44,Object,Object
good,44,Object,Object
source,44,Object,Object
of,44,Object,Object
natural,44,Object,Object
sugar,44,Object,Object
",",44,other,other
then,44,other,other
have,44,Predicate,Predicate
a,44,Object,Object
balanced,44,Object,Object
meal,44,Object,Object
with,44,Object,Object
a,44,Object,Object
mix,44,Object,Object
of,44,Object,Object
car,44,Object,Object
",",44,other,other
proteins,44,Object,Object
",",44,other,other
and,44,other,Object
healthy,44,Object,Object
fat,44,Object,Object
.,44,other,other
p,45,other,other
:,45,other,other
yes,45,other,other
",",45,other,other
dates,45,Subject,Subject
are,45,Predicate,Predicate
a,45,Object,Object
traditional,45,Object,Object
food,45,Object,Object
to,45,Predicate,Object
break,45,Predicate,Object
the,45,Object,Object
fast,45,Object,Object
.,45,other,other
i,46,Subject,other
guess,46,other,other
i,46,Subject,Subject
need,46,Predicate,Predicate
to,46,Predicate,Predicate
plan,46,Predicate,Predicate
my,46,Object,Object
meals,46,Object,Object
more,46,Object,Object
carefully,46,Object,Object
during,46,Object,Object
rama,46,Object,Object
.,46,other,other
thank,47,other,other
you,47,other,other
for,47,other,other
your,47,other,other
advice,47,other,other
.,47,other,other
a,48,other,other
:,48,other,other
you,48,other,other
are,48,other,other
welcome,48,other,other
",",48,other,other
abdullah,48,other,other
!,48,other,other
remember,49,other,other
",",49,other,other
it,49,Subject,other
is,49,Predicate,other
all,49,Object,other
about,49,Object,other
balance,49,Object,other
and,49,Object,other
mode,49,Object,other
.,49,other,other
p,50,other,other
:,50,other,other
i,50,Subject,Subject
am,50,Predicate,Predicate
having,50,Predicate,Predicate
a,50,Object,Object
hard,50,Object,Object
time,50,Object,Object
managing,50,Predicate,Object
my,50,Object,Object
sugar,50,Object,Object
levels,50,Object,Object
during,50,Object,Object
rama,50,Object,Object
.,50,other,other
any,51,other,other
advice,51,other,other
on,51,other,other
how,51,other,other
i,51,Subject,other
can,51,Predicate,other
handle,51,Predicate,other
this,51,Object,other
what,39,other,other
about,39,other,other
during,39,Object,other
rama,39,Object,other
when,39,Object,other
we,39,Subject,other
fast,39,other,other
?,39,other,other
how,40,other,other
do,40,Predicate,other
i,40,Subject,other
maintain,40,Predicate,other
a,40,Object,other
balanced,40,Object,other
diet,40,Object,other
then,40,Object,other
?,40,other,other
a,41,other,other
:,41,other,other
fast,41,Subject,Subject
during,41,Subject,Subject
rama,41,Subject,Subject
can,41,Predicate,Predicate
indeed,41,Predicate,other
be,41,Predicate,Predicate
a,41,Object,Object
challenge,41,Object,Object
",",41,other,other
abdullah,41,other,other
.,41,other,other
try,42,Predicate,Predicate
to,42,Predicate,Predicate
focus,42,Predicate,Predicate
on,42,Predicate,Predicate
slow,42,Object,Object
car,42,Object,Object
and,42,other,Object
protein,42,Object,Object
foods,42,Object,Object
during,42,Object,Object
su,42,Object,Object
to,42,Predicate,other
keep,42,Predicate,other
your,42,Object,other
blood,42,Object,other
sugar,42,Object,other
stable,42,Object,other
throughout,42,Object,other
the,42,Object,other
day,42,Object,other
.,42,other,other
try,43,other,other
to,43,other,other
focus,43,other,other
on,43,other,other
slow,43,other,Subject
car,43,other,Subject
and,43,other,Subject
protein,43,other,Subject
foods,43,other,Subject
during,43,other,other
su,43,other,other
to,43,other,other
keep,43,Predicate,Predicate
your,43,other,Object
blood,43,other,Object
sugar,43,other,Object
stable,43,other,Object
throughout,43,other,Object
the,43,other,Object
day,43,other,Object
.,43,other,other
for,44,other,other
if,44,other,other
",",44,other,other
start,44,Predicate,Predicate
with,44,Predicate,Predicate
dates,44,Subject,Object
as,44,other,other
they,44,Subject,Subject
are,44,Predicate,Predicate
a,44,Object,Object
good,44,Object,Object
source,44,Object,Object
of,44,Object,Object
natural,44,Object,Object
sugar,44,Object,Object
",",44,other,other
then,44,other,other
have,44,Predicate,Predicate
a,44,Object,Object
balanced,44,Object,Object
meal,44,Object,Object
with,44,Object,Object
a,44,Object,Object
mix,44,Object,Object
of,44,Object,Object
car,44,Object,Object
",",44,other,other
proteins,44,Object,Object
",",44,other,other
and,44,other,Object
healthy,44,Object,Object
fat,44,Object,Object
.,44,other,other
p,45,other,other
:,45,other,other
yes,45,other,other
",",45,other,other
dates,45,Subject,Subject
are,45,Predicate,Predicate
a,45,Object,Object
traditional,45,Object,Object
food,45,Object,Object
to,45,Predicate,Object
break,45,Predicate,Object
the,45,Object,Object
fast,45,Object,Object
.,45,other,other
i,46,Subject,other
guess,46,other,other
i,46,Subject,Subject
need,46,Predicate,Predicate
to,46,Predicate,Predicate
plan,46,Predicate,Predicate
my,46,Object,Object
meals,46,Object,Object
more,46,Object,Object
carefully,46,Object,Object
during,46,Object,Object
rama,46,Object,Object
.,46,other,other
thank,47,other,other
you,47,other,other
for,47,other,other
your,47,other,other
advice,47,other,other
.,47,other,other
a,48,other,other
:,48,other,other
you,48,other,other
are,48,other,other
welcome,48,other,other
",",48,other,other
abdullah,48,other,other
!,48,other,other
remember,49,other,other
",",49,other,other
it,49,Subject,other
is,49,Predicate,other
all,49,Predicate,other
about,49,Object,other
balance,49,Object,other
and,49,Object,other
mode,49,Object,other
.,49,other,other
p,50,other,other
:,50,other,other
i,50,Subject,Subject
am,50,Predicate,Predicate
having,50,Predicate,Predicate
a,50,Object,Object
hard,50,Object,Object
time,50,Object,Object
managing,50,Predicate,Object
my,50,Object,Object
sugar,50,Object,Object
levels,50,Object,Object
during,50,Object,Object
rama,50,Object,Object
.,50,other,other
any,51,other,other
advice,51,other,other
on,51,other,other
how,51,other,other
i,51,Subject,other
can,51,other,other
handle,51,other,other
this,51,Object,other
?,51,other,other
a,52,other,other
:,52,other,other
absolutely,52,other,other
",",52,other,other
abdullah,52,other,other
.,52,other,other
it,53,Subject,other
is,53,Predicate,Predicate
crucial,53,Object,Object
to,53,Predicate,Subject
have,53,Predicate,Subject
a,53,Object,Subject
balanced,53,Object,Subject
meal,53,Object,Subject
at,53,Object,Subject
su,53,Object,Subject
that,53,Object,Subject
includes,53,Predicate,Subject
complex,53,Object,Subject
car,53,Object,Subject
",",53,other,other
fiber,53,Object,Subject
",",53,other,other
protein,53,Object,Subject
and,53,other,Subject
healthy,53,Object,Subject
fat,53,Object,Subject
.,53,other,other
this,54,Subject,Subject
could,54,Predicate,Predicate
help,54,Predicate,Predicate
sustain,54,Predicate,Predicate
you,54,Object,Object
throughout,54,Object,Object
the,54,Object,Object
fast,54,Object,Object
period,54,Object,Object
and,54,other,other
reduce,54,Predicate,other
blood,54,Object,other
sugar,54,Object,other
fluctuations,54,Object,other
.,54,other,other
this,55,Subject,Subject
could,55,Predicate,Predicate
help,55,Predicate,Predicate
sustain,55,Predicate,other
you,55,Object,other
throughout,55,other,other
the,55,other,other
fast,55,other,other
period,55,Object,other
and,55,other,other
reduce,55,other,Predicate
blood,55,other,Object
sugar,55,other,Object
fluctuations,55,other,Object
.,55,other,other
p,56,other,other
:,56,other,other
that,56,other,other
makes,56,other,other
sense,56,other,other
.,56,other,other
what,57,other,other
about,57,other,other
if,57,other,other
meals,57,other,other
?,57,other,other
what,58,other,other
should,58,other,other
i,58,other,other
be,58,other,other
considering,58,other,other
?,58,other,other
a,59,other,other
:,59,other,other
when,59,other,other
breaking,59,Predicate,other
your,59,Object,other
fast,59,Object,other
at,59,Object,other
if,59,other,other
",",59,other,other
it,59,Subject,other
is,59,Predicate,Predicate
essential,59,Object,Object
to,59,Predicate,Subject
begin,59,Predicate,Subject
with,59,Predicate,Subject
something,59,Object,Subject
light,59,Object,Subject
like,59,Object,Subject
water,59,Object,Subject
and,59,other,Subject
dates,59,Object,Subject
.,59,other,other
then,60,other,other
",",60,other,other
have,60,Predicate,Predicate
a,60,Object,Object
balanced,60,Object,Object
meal,60,Object,Object
including,60,Object,Object
a,60,Object,Object
source,60,Object,Object
of,60,Object,Object
protein,60,Object,Object
",",60,other,other
vegetables,60,Object,Object
and,60,other,Object
small,60,Object,Object
portion,60,Object,Object
of,60,Object,Object
car,60,Object,Object
.,60,other,other
avoid,61,Predicate,Predicate
sugar,61,Object,Object
drinks,61,Object,Object
or,61,other,Object
dessert,61,Object,Object
which,61,Object,Object
could,61,Predicate,Object
spike,61,Predicate,Object
your,61,Object,Object
blood,61,Object,Object
sugar,61,Object,Object
levels,61,Object,Object
.,61,other,other
p,62,other,other
:,62,other,other
and,62,other,other
what,62,other,other
should,62,other,other
i,62,Subject,other
do,62,other,other
if,62,other,other
i,62,Subject,other
feel,62,Predicate,other
weak,62,Object,other
or,62,other,other
dizzy,62,Object,other
during,62,Object,other
the,62,Object,other
fast,62,Object,other
period,62,Object,other
?,62,other,other
a,63,other,other
:,63,other,other
if,63,other,Object
you,63,Subject,Object
feel,63,other,Object
weak,63,other,Object
or,63,other,Object
dizzy,63,other,Object
",",63,other,other
it,63,Subject,Subject
could,63,Predicate,Predicate
be,63,Predicate,Predicate
due,63,Predicate,Predicate
to,63,Predicate,Predicate
low,63,Object,Object
blood,63,Object,Object
sugar,63,Object,Object
.,63,other,other
it,64,other,other
is,64,Predicate,Predicate
important,64,Object,Object
to,64,Predicate,Subject
break,64,Predicate,Subject
your,64,Object,Subject
fast,64,Object,Subject
immediately,64,Object,Subject
in,64,Object,Subject
such,64,Object,Subject
cases,64,Object,Subject
",",64,other,other
and,64,other,other
have,64,Predicate,Predicate
a,64,Object,Object
quick,64,Object,Object
source,64,Object,Object
of,64,Object,Object
sugar,64,Object,Object
like,64,Object,Object
a,64,Object,Object
piece,64,Object,Object
of,64,Object,Object
fruit,64,Object,Object
or,64,other,Object
a,64,Object,Object
glass,64,Object,Object
of,64,Object,Object
milk,64,Object,Object
.,64,other,other
then,65,other,other
",",65,other,other
check,65,Predicate,Predicate
your,65,Object,Object
blood,65,Object,Object
sugar,65,Object,Object
levels,65,Object,Object
to,65,Predicate,Object
ensure,65,Predicate,Object
they,65,Object,Object
are,65,Predicate,Object
back,65,Predicate,Object
to,65,Object,Object
normal,65,Object,Object
.,65,other,other
p,66,other,other
:,66,other,other
thank,66,other,other
you,66,other,other
for,66,other,other
the,66,other,other
advice,66,other,other
.,66,other,other
i,67,Subject,Subject
will,67,Predicate,Predicate
surely,67,Predicate,Predicate
consider,67,Predicate,Predicate
these,67,Object,Object
tips,67,Object,Object
for,67,Predicate,Object
the,67,Object,Object
upcoming,67,Object,Object
fast,67,Object,Object
period,67,Object,Object
.,67,other,other
a,68,other,other
:,68,other,other
ai,68,other,other
",",68,other,other
i,68,Subject,other
have,68,Predicate,other
noticed,68,Predicate,other
that,68,Object,other
you,68,Subject,Subject
have,68,Predicate,Predicate
been,68,Predicate,Predicate
