sentence_id,token_id,sentence,token,spo_label
6,3,"This can lead to a sense of discomfort , numbness or pain .",lead,Predicate
6,4,"This can lead to a sense of discomfort , numbness or pain .",to,Predicate
6,5,"This can lead to a sense of discomfort , numbness or pain .",a,Object
6,6,"This can lead to a sense of discomfort , numbness or pain .",sense,Object
6,7,"This can lead to a sense of discomfort , numbness or pain .",of,Object
6,8,"This can lead to a sense of discomfort , numbness or pain .",discomfort,Object
6,9,"This can lead to a sense of discomfort , numbness or pain .",",",other
6,10,"This can lead to a sense of discomfort , numbness or pain .",numbness,Object
6,11,"This can lead to a sense of discomfort , numbness or pain .",or,other
6,12,"This can lead to a sense of discomfort , numbness or pain .",pain,Object
6,13,"This can lead to a sense of discomfort , numbness or pain .",.,other
7,1,Do you notice any specific pattern ?,Do,Predicate
7,2,Do you notice any specific pattern ?,you,Subject
7,3,Do you notice any specific pattern ?,notice,Predicate
7,4,Do you notice any specific pattern ?,any,Object
7,5,Do you notice any specific pattern ?,specific,Object
7,6,Do you notice any specific pattern ?,pattern,Object
7,7,Do you notice any specific pattern ?,?,other
8,1,P : I mostly feel it at night .,P,other
8,2,P : I mostly feel it at night .,:,other
8,3,P : I mostly feel it at night .,I,Subject
8,4,P : I mostly feel it at night .,mostly,Predicate
8,5,P : I mostly feel it at night .,feel,Predicate
8,6,P : I mostly feel it at night .,it,Object
8,7,P : I mostly feel it at night .,at,Object
8,8,P : I mostly feel it at night .,night,Object
8,9,P : I mostly feel it at night .,.,other
9,1,"Also , my feet get quite cold sometimes .",Also,other
9,2,"Also , my feet get quite cold sometimes .",",",other
9,3,"Also , my feet get quite cold sometimes .",my,Subject
9,4,"Also , my feet get quite cold sometimes .",feet,Subject
9,5,"Also , my feet get quite cold sometimes .",get,Predicate
9,6,"Also , my feet get quite cold sometimes .",quite,Object
9,7,"Also , my feet get quite cold sometimes .",cold,Object
9,8,"Also , my feet get quite cold sometimes .",sometimes,Object
9,9,"Also , my feet get quite cold sometimes .",.,other
10,1,A: That is a common symptom of peripheral neuropathy.,A,other
10,2,A: That is a common symptom of peripheral neuropathy.,:,other
10,3,A: That is a common symptom of peripheral neuropathy.,That,Subject
10,4,A: That is a common symptom of peripheral neuropathy.,is,Predicate
10,5,A: That is a common symptom of peripheral neuropathy.,a,Object
10,6,A: That is a common symptom of peripheral neuropathy.,common,Object
10,7,A: That is a common symptom of peripheral neuropathy.,symptom,Object
10,8,A: That is a common symptom of peripheral neuropathy.,of,Object
10,9,A: That is a common symptom of peripheral neuropathy.,peripheral,Object
10,10,A: That is a common symptom of peripheral neuropathy.,neuropathy,Object
10,11,A: That is a common symptom of peripheral neuropathy.,.,other
11,1,You should bring this up with your doctor as soon as possible .,You,Subject
11,2,You should bring this up with your doctor as soon as possible .,should,Predicate
11,3,You should bring this up with your doctor as soon as possible .,bring,Predicate
11,4,You should bring this up with your doctor as soon as possible .,this,Object
11,5,You should bring this up with your doctor as soon as possible .,up,Predicate
11,6,You should bring this up with your doctor as soon as possible .,with,Predicate
11,7,You should bring this up with your doctor as soon as possible .,your,Object
11,8,You should bring this up with your doctor as soon as possible .,doctor,Object
11,9,You should bring this up with your doctor as soon as possible .,as,Predicate
11,10,You should bring this up with your doctor as soon as possible .,soon,Predicate
11,11,You should bring this up with your doctor as soon as possible .,as,Predicate
11,12,You should bring this up with your doctor as soon as possible .,possible,Predicate
11,13,You should bring this up with your doctor as soon as possible .,.,other
12,1,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",In,other
12,2,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",the,other
12,3,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",meantime,other
12,4,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",",",other
12,5,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",make,Predicate
12,6,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",sure,Predicate
12,7,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",you,Subject
12,8,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",check,Predicate
12,9,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",your,Object
12,10,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",feet,Object
12,11,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",daily,Predicate
12,12,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",for,Object
12,13,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",any,Object
12,14,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",cuts,Object
12,15,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",or,Object
12,16,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",injuries,Object
12,17,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",that,Object
12,18,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",you,Object
12,19,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",may,Object
12,20,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",not,Object
12,21,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",feel,Object
12,22,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",due,Object
12,23,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",to,Object
12,24,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",the,Object
12,25,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",numbness,Object
12,26,"In the meantime , make sure you check your feet daily for any cuts or injuries that you may not feel due to the numbness .",.,other
13,1,P: I see.,P,other
13,2,P: I see.,:,other
13,3,P: I see.,I,other
13,4,P: I see.,see,other
13,5,P: I see.,.,other
14,1,Can this condition worsen with time ?,Can,Predicate
14,2,Can this condition worsen with time ?,this,Subject
14,3,Can this condition worsen with time ?,condition,Subject
14,4,Can this condition worsen with time ?,worsen,Predicate
14,5,Can this condition worsen with time ?,with,Object
14,6,Can this condition worsen with time ?,time,Object
14,7,Can this condition worsen with time ?,?,other
15,1,"A : If not managed properly , it might .",A,other
15,2,"A : If not managed properly , it might .",:,other
15,3,"A : If not managed properly , it might .",If,other
15,4,"A : If not managed properly , it might .",not,other
15,5,"A : If not managed properly , it might .",managed,other
15,6,"A : If not managed properly , it might .",properly,other
15,7,"A : If not managed properly , it might .",",",other
15,8,"A : If not managed properly , it might .",it,Subject
15,9,"A : If not managed properly , it might .",might,Predicate
15,10,"A : If not managed properly , it might .",.,other
16,1,That is why early detection and appropriate treatment are essential .,That,Subject
16,2,That is why early detection and appropriate treatment are essential .,is,Predicate
16,3,That is why early detection and appropriate treatment are essential .,why,Object
16,4,That is why early detection and appropriate treatment are essential .,early,Object
16,5,That is why early detection and appropriate treatment are essential .,detection,Object
16,6,That is why early detection and appropriate treatment are essential .,and,Object
16,7,That is why early detection and appropriate treatment are essential .,appropriate,Object
16,8,That is why early detection and appropriate treatment are essential .,treatment,Object
16,9,That is why early detection and appropriate treatment are essential .,are,Predicate
16,10,That is why early detection and appropriate treatment are essential .,essential,Object
16,11,That is why early detection and appropriate treatment are essential .,.,other
17,1,That is why early detection and appropriate treatment are essential .,That,other
17,2,That is why early detection and appropriate treatment are essential .,is,Predicate
17,3,That is why early detection and appropriate treatment are essential .,why,other
17,4,That is why early detection and appropriate treatment are essential .,early,Subject
17,5,That is why early detection and appropriate treatment are essential .,detection,Subject
17,6,That is why early detection and appropriate treatment are essential .,and,other
17,7,That is why early detection and appropriate treatment are essential .,appropriate,Subject
17,8,That is why early detection and appropriate treatment are essential .,treatment,Subject
17,9,That is why early detection and appropriate treatment are essential .,are,Predicate
17,10,That is why early detection and appropriate treatment are essential .,essential,Object
17,11,That is why early detection and appropriate treatment are essential .,.,other
18,1,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,It,other
18,2,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,is,Predicate
18,3,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,also,Predicate
18,4,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,important,Object
18,5,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,to,Predicate
18,6,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,maintain,Predicate
18,7,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,good,Object
18,8,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,blood,Object
18,9,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,sugar,Object
18,10,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,control,Object
18,11,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,to,Predicate
18,12,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,prevent,Predicate
18,13,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,or,Predicate
18,14,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,slow,Predicate
18,15,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,the,Object
18,16,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,progression,Object
18,17,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,of,Object
18,18,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,neuropathy,Object
18,19,It is also important to maintain good blood sugar control to prevent or slow the progression of neuropathy .,.,other
19,1,P : I will definitely consult my doctor about this .,P,other
19,2,P : I will definitely consult my doctor about this .,:,other
19,3,P : I will definitely consult my doctor about this .,I,Subject
19,4,P : I will definitely consult my doctor about this .,will,Predicate
19,5,P : I will definitely consult my doctor about this .,definitely,Predicate
19,6,P : I will definitely consult my doctor about this .,consult,Predicate
19,7,P : I will definitely consult my doctor about this .,my,Object
19,8,P : I will definitely consult my doctor about this .,doctor,Object
19,9,P : I will definitely consult my doctor about this .,about,Object
19,10,P : I will definitely consult my doctor about this .,this,Object
19,11,P : I will definitely consult my doctor about this .,.,other
20,1,Is there anything else I can do to alleviate the discomfort?,Is,Predicate
20,2,Is there anything else I can do to alleviate the discomfort?,there,Subject
20,3,Is there anything else I can do to alleviate the discomfort?,anything,Object
20,4,Is there anything else I can do to alleviate the discomfort?,else,Object
20,5,Is there anything else I can do to alleviate the discomfort?,I,Subject
20,6,Is there anything else I can do to alleviate the discomfort?,can,Predicate
20,7,Is there anything else I can do to alleviate the discomfort?,do,Predicate
20,8,Is there anything else I can do to alleviate the discomfort?,to,Predicate
20,9,Is there anything else I can do to alleviate the discomfort?,alleviate,Predicate
20,10,Is there anything else I can do to alleviate the discomfort?,the,Object
20,11,Is there anything else I can do to alleviate the discomfort?,discomfort,Object
20,12,Is there anything else I can do to alleviate the discomfort?,?,other
21,1,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,A,other
21,2,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,:,other
21,3,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,Regular,Subject
21,4,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,exercise,Subject
21,5,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,can,Predicate
21,6,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,improve,Predicate
21,7,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,blood,Object
21,8,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,flow,Object
21,9,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,to,Object
21,10,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,your,Object
21,11,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,feet,Object
21,12,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,and,other
21,13,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,relieve,Predicate
21,14,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,symptoms,Object
21,15,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,.,other
22,1,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,A,other
22,2,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,:,other
22,3,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,Regular,Subject
22,4,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,exercise,Subject
22,5,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,can,Predicate
22,6,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,improve,Predicate
22,7,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,blood,Object
22,8,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,flow,Object
22,9,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,to,Object
22,10,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,your,Object
22,11,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,feet,Object
22,12,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,and,other
22,13,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,relieve,Predicate
22,14,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,symptoms,Object
22,15,A: Regular exercise can improve blood flow to your feet and relieve symptoms.,.,other
23,1,"Also , wearing warmer socks might help with the coldness .",Also,other
23,2,"Also , wearing warmer socks might help with the coldness .",",",other
23,3,"Also , wearing warmer socks might help with the coldness .",wearing,Subject
23,4,"Also , wearing warmer socks might help with the coldness .",warmer,Subject
23,5,"Also , wearing warmer socks might help with the coldness .",socks,Subject
23,6,"Also , wearing warmer socks might help with the coldness .",might,Predicate
23,7,"Also , wearing warmer socks might help with the coldness .",help,Predicate
23,8,"Also , wearing warmer socks might help with the coldness .",with,Predicate
23,9,"Also , wearing warmer socks might help with the coldness .",the,Object
23,10,"Also , wearing warmer socks might help with the coldness .",coldness,Object
23,11,"Also , wearing warmer socks might help with the coldness .",.,other
24,1,Ensure that your shoes fit well to avoid potential injury .,Ensure,Predicate
24,2,Ensure that your shoes fit well to avoid potential injury .,that,Object
24,3,Ensure that your shoes fit well to avoid potential injury .,your,Object
24,4,Ensure that your shoes fit well to avoid potential injury .,shoes,Object
24,5,Ensure that your shoes fit well to avoid potential injury .,fit,Object
24,6,Ensure that your shoes fit well to avoid potential injury .,well,Object
24,7,Ensure that your shoes fit well to avoid potential injury .,to,Predicate
24,8,Ensure that your shoes fit well to avoid potential injury .,avoid,Predicate
24,9,Ensure that your shoes fit well to avoid potential injury .,potential,Object
24,10,Ensure that your shoes fit well to avoid potential injury .,injury,Object
24,11,Ensure that your shoes fit well to avoid potential injury .,.,other
25,1,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",A,other
25,2,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",:,other
25,3,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",Abdullah,other
25,4,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",",",other
25,5,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",I,Subject
25,6,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",know,Predicate
25,7,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",maintaining,Object
25,8,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",a,Object
25,9,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",balanced,Object
25,10,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",diet,Object
25,11,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",is,Predicate
25,12,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",important,Predicate
25,13,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",for,Predicate
25,14,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",managing,Object
25,15,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",your,Object
25,16,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",diabetes,Object
25,17,"A : Abdullah , I know maintaining a balanced diet is important for managing your diabetes .",.,other
26,1,Are you incorporating enough fiber-rich foods in your meals?,Are,Predicate
26,2,Are you incorporating enough fiber-rich foods in your meals?,you,Subject
26,3,Are you incorporating enough fiber-rich foods in your meals?,incorporating,Predicate
26,4,Are you incorporating enough fiber-rich foods in your meals?,enough,Object
26,5,Are you incorporating enough fiber-rich foods in your meals?,fiber-rich,Object
26,6,Are you incorporating enough fiber-rich foods in your meals?,foods,Object
26,7,Are you incorporating enough fiber-rich foods in your meals?,in,Object
26,8,Are you incorporating enough fiber-rich foods in your meals?,your,Object
26,9,Are you incorporating enough fiber-rich foods in your meals?,meals,Object
26,10,Are you incorporating enough fiber-rich foods in your meals?,?,other
27,1,"P: I try to, but it is not always easy with traditional Moroccan dishes.",P,other
27,2,"P: I try to, but it is not always easy with traditional Moroccan dishes.",:,other
27,3,"P: I try to, but it is not always easy with traditional Moroccan dishes.",I,Subject
27,4,"P: I try to, but it is not always easy with traditional Moroccan dishes.",try,Predicate
27,5,"P: I try to, but it is not always easy with traditional Moroccan dishes.",to,Predicate
27,6,"P: I try to, but it is not always easy with traditional Moroccan dishes.",",",other
27,7,"P: I try to, but it is not always easy with traditional Moroccan dishes.",but,other
27,8,"P: I try to, but it is not always easy with traditional Moroccan dishes.",it,Subject
27,9,"P: I try to, but it is not always easy with traditional Moroccan dishes.",is,Predicate
27,10,"P: I try to, but it is not always easy with traditional Moroccan dishes.",not,Predicate
27,11,"P: I try to, but it is not always easy with traditional Moroccan dishes.",always,Predicate
27,12,"P: I try to, but it is not always easy with traditional Moroccan dishes.",easy,Predicate
27,13,"P: I try to, but it is not always easy with traditional Moroccan dishes.",with,Object
27,14,"P: I try to, but it is not always easy with traditional Moroccan dishes.",traditional,Object
27,15,"P: I try to, but it is not always easy with traditional Moroccan dishes.",Moroccan,Object
27,16,"P: I try to, but it is not always easy with traditional Moroccan dishes.",dishes,Object
27,17,"P: I try to, but it is not always easy with traditional Moroccan dishes.",.,other
28,1,How can I increase my fiber intake without straying too far from our usual meals?,How,other
28,2,How can I increase my fiber intake without straying too far from our usual meals?,can,Predicate
28,3,How can I increase my fiber intake without straying too far from our usual meals?,I,Subject
28,4,How can I increase my fiber intake without straying too far from our usual meals?,increase,Predicate
28,5,How can I increase my fiber intake without straying too far from our usual meals?,my,Object
28,6,How can I increase my fiber intake without straying too far from our usual meals?,fiber,Object
28,7,How can I increase my fiber intake without straying too far from our usual meals?,intake,Object
28,8,How can I increase my fiber intake without straying too far from our usual meals?,without,Object
28,9,How can I increase my fiber intake without straying too far from our usual meals?,straying,Object
28,10,How can I increase my fiber intake without straying too far from our usual meals?,too,Object
28,11,How can I increase my fiber intake without straying too far from our usual meals?,far,Object
28,12,How can I increase my fiber intake without straying too far from our usual meals?,from,Object
28,13,How can I increase my fiber intake without straying too far from our usual meals?,our,Object
28,14,How can I increase my fiber intake without straying too far from our usual meals?,usual,Object
28,15,How can I increase my fiber intake without straying too far from our usual meals?,meals,Object
28,16,How can I increase my fiber intake without straying too far from our usual meals?,?,other
29,1,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",A,other
29,2,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",:,other
29,3,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",You,Subject
29,4,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",could,Predicate
29,5,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",consider,Predicate
29,6,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",including,Predicate
29,7,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",more,Object
29,8,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",legumes,Object
29,9,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",",",other
29,10,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",like,Object
29,11,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",lentils,Object
29,12,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",and,other
29,13,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",chickpeas,Object
29,14,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",",",other
29,15,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",which,Subject
29,16,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",are,Predicate
29,17,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",common,Object
29,18,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",in,Object
29,19,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",Moroccan,Object
29,20,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",cuisine,Object
29,21,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",and,other
29,22,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",are,Predicate
29,23,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",high,Object
29,24,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",in,Object
29,25,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",fiber,Object
29,26,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",.,other
30,1,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",A,other
30,2,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",:,other
30,3,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",You,Subject
30,4,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",could,Predicate
30,5,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",consider,Predicate
30,6,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",including,Predicate
30,7,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",more,Object
30,8,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",legumes,Object
30,9,"A : You could consider including more legumes , like lentils and chickpeas , which are common in Moroccan cuisine and are high in fiber .",",",other
